This is an important test 
 Block 1 ACC 
t=20634 x=1.012573, y=0.012554, z=-0.070972 
t=20643 x=1.018356, y=0.007925, z=-0.070953 
t=20653 x=1.022135, y=0.004181, z=-0.065793 
t=20663 x=1.026944, y=0.005136, z=-0.069771 
t=20673 x=1.029230, y=0.005710, z=-0.071218 
t=20683 x=1.035040, y=0.006065, z=-0.068156 
t=20693 x=1.036819, y=0.003338, z=-0.068909 
t=20703 x=1.032954, y=0.001661, z=-0.067638 
t=20714 x=1.021656, y=0.000581, z=-0.063941 
t=20724 x=1.012822, y=0.000491, z=-0.065313 
t=20733 x=1.009640, y=0.002118, z=-0.065980 
t=20743 x=1.009917, y=0.002691, z=-0.065801 
t=20753 x=1.017022, y=-0.001267, z=-0.065114 
t=20763 x=1.015221, y=-0.002984, z=-0.064132 
t=20773 x=1.012939, y=-0.004411, z=-0.065567 
t=20783 x=1.009979, y=-0.003994, z=-0.068952 
t=20793 x=1.004531, y=-0.004696, z=-0.077325 
t=20804 x=1.013614, y=-0.002145, z=-0.067232 
t=20813 x=1.016258, y=0.004703, z=-0.069252 
t=20823 x=1.015299, y=0.006599, z=-0.071865 
t=20833 x=1.017935, y=0.008198, z=-0.073964 
t=20843 x=1.032455, y=0.003923, z=-0.066374 
t=20853 x=1.038652, y=0.003428, z=-0.064884 
t=20863 x=1.036382, y=0.000008, z=-0.068153 
t=20873 x=1.031718, y=-0.001096, z=-0.066074 
t=20883 x=1.022978, y=-0.002859, z=-0.066659 
t=20893 x=1.013688, y=-0.004945, z=-0.071105 
t=20903 x=1.008177, y=-0.007730, z=-0.071136 
t=20913 x=1.003607, y=-0.011493, z=-0.070387 
t=20923 x=1.003860, y=-0.013900, z=-0.073172 
t=20933 x=1.007241, y=-0.019523, z=-0.071214 
t=20943 x=1.006875, y=-0.020463, z=-0.066031 
t=20953 x=1.005576, y=-0.018030, z=-0.072310 
t=20963 x=1.011020, y=-0.020580, z=-0.080594 
t=20973 x=1.015724, y=-0.018580, z=-0.080477 
t=20983 x=1.018785, y=-0.016879, z=-0.079260 
t=20993 x=1.023352, y=-0.013065, z=-0.078991 
t=21003 x=1.026554, y=-0.010413, z=-0.072567 
t=21013 x=1.016976, y=-0.011766, z=-0.067150 
t=21023 x=1.010170, y=-0.012905, z=-0.069178 
t=21033 x=1.009652, y=-0.010620, z=-0.065590 
t=21043 x=1.010084, y=-0.013135, z=-0.067669 
t=21053 x=1.016044, y=-0.012554, z=-0.068531 
t=21063 x=1.022502, y=-0.012402, z=-0.069241 
t=21073 x=1.027670, y=-0.016333, z=-0.067911 
t=21083 x=1.022455, y=-0.014075, z=-0.067825 
t=21093 x=1.016699, y=-0.012386, z=-0.072712 
t=21103 x=1.018875, y=-0.011372, z=-0.070223 
t=21113 x=1.017136, y=-0.009680, z=-0.067072 
t=21123 x=1.009043, y=-0.008054, z=-0.069334 
t=21133 x=1.006364, y=-0.008681, z=-0.070496 
t=21143 x=1.006044, y=-0.004450, z=-0.070769 
t=21153 x=1.009047, y=-0.002051, z=-0.068944 
t=21163 x=1.002300, y=-0.001053, z=-0.059787 
t=21173 x=1.005108, y=0.001576, z=-0.058157 
t=21183 x=0.871443, y=-0.002648, z=0.024437 
t=21193 x=0.998076, y=-0.031255, z=0.113217 
t=21203 x=1.021937, y=0.053508, z=-0.122862 
t=21213 x=0.998377, y=-0.037003, z=-0.159553 
t=21223 x=1.000966, y=0.026368, z=-0.114898 
t=21233 x=1.024994, y=-0.002578, z=-0.059370 
t=21243 x=1.000713, y=0.033138, z=-0.072400 
t=21253 x=1.005775, y=-0.000550, z=-0.050033 
t=21263 x=1.011765, y=-0.000718, z=-0.051223 
t=21273 x=1.023165, y=0.002867, z=-0.061285 
t=21283 x=1.027081, y=0.002480, z=-0.074248 
t=21293 x=1.033562, y=-0.002523, z=-0.074393 
t=21303 x=1.039424, y=-0.011427, z=-0.067548 
t=21313 x=1.028333, y=-0.011127, z=-0.071132 
t=21323 x=1.013552, y=-0.011068, z=-0.070758 
t=21333 x=1.001516, y=-0.012164, z=-0.071284 
t=21343 x=0.991290, y=-0.014937, z=-0.075605 
t=21353 x=0.988868, y=-0.013549, z=-0.073289 
t=21363 x=0.994180, y=-0.012589, z=-0.072700 
t=21373 x=1.005822, y=-0.014204, z=-0.070863 
t=21383 x=1.016512, y=-0.015760, z=-0.075212 
t=21393 x=1.026788, y=-0.024266, z=-0.067025 
t=21403 x=1.028617, y=-0.027788, z=-0.066171 
t=21413 x=1.025876, y=-0.027604, z=-0.067228 
t=21424 x=1.030345, y=-0.022788, z=-0.071409 
t=21433 x=1.032958, y=-0.018490, z=-0.075793 
t=21443 x=1.033208, y=-0.011759, z=-0.071721 
t=21453 x=1.028442, y=-0.010436, z=-0.069455 
t=21463 x=1.021313, y=-0.012281, z=-0.069822 
t=21473 x=1.008404, y=-0.018814, z=-0.065313 
t=21483 x=1.007647, y=-0.020179, z=-0.065407 
t=21493 x=1.011446, y=-0.020417, z=-0.062661 
t=21503 x=1.018095, y=-0.015210, z=-0.068024 
t=21513 x=1.018645, y=-0.013673, z=-0.077396 
t=21523 x=1.019140, y=-0.013385, z=-0.075262 
t=21534 x=1.022011, y=-0.004976, z=-0.071113 
t=21543 x=1.018516, y=-0.007823, z=-0.095831 
t=21553 x=1.011219, y=-0.004403, z=-0.097204 
t=21563 x=1.014952, y=-0.006521, z=-0.079876 
t=21573 x=1.018247, y=-0.005082, z=-0.061452 
t=21584 x=1.022190, y=-0.002215, z=-0.058410 
t=21593 x=1.009691, y=-0.006965, z=-0.076179 
t=21603 x=1.013384, y=-0.014021, z=-0.067470 
t=21613 x=1.006649, y=-0.007995, z=-0.063032 
t=21623 x=1.005564, y=-0.016696, z=-0.060317 
t=21633 x=0.998700, y=-0.022600, z=-0.059857 
t=21643 x=0.999075, y=-0.027667, z=-0.065719 
t=21653 x=1.000245, y=-0.030003, z=-0.061632 
t=21663 x=1.003653, y=-0.032226, z=-0.062927 
t=21673 x=1.003306, y=-0.036149, z=-0.064537 
t=21683 x=1.008782, y=-0.034566, z=-0.071113 
t=21693 x=1.010876, y=-0.031625, z=-0.076588 
t=21703 x=1.015154, y=-0.029940, z=-0.077871 
t=21714 x=1.019534, y=-0.026922, z=-0.075773 
t=21724 x=1.021457, y=-0.024625, z=-0.081916 
t=21733 x=1.022428, y=-0.022998, z=-0.084072 
t=21743 x=1.025103, y=-0.018104, z=-0.074272 
t=21753 x=1.023645, y=-0.015471, z=-0.072891 
t=21763 x=1.021913, y=-0.008775, z=-0.080672 
t=21773 x=1.026336, y=-0.009734, z=-0.077957 
t=21783 x=1.032158, y=-0.005125, z=-0.070208 
t=21793 x=1.038461, y=-0.005327, z=-0.073964 
t=21803 x=1.047010, y=-0.016286, z=-0.071936 
t=21813 x=1.032162, y=0.000105, z=-0.073800 
t=21823 x=1.032108, y=-0.003771, z=-0.078741 
t=21836 x=1.032470, y=-0.009625, z=-0.077045 
t=21843 x=1.031125, y=-0.007457, z=-0.073718 
t=21853 x=1.020256, y=-0.007437, z=-0.077848 
t=21863 x=1.005303, y=-0.009933, z=-0.070898 
t=21873 x=1.003361, y=-0.006646, z=-0.073336 
t=21883 x=1.000475, y=-0.013038, z=-0.058917 
t=21894 x=1.003556, y=-0.020557, z=-0.056967 
t=21903 x=1.002082, y=-0.021965, z=-0.065536 
t=21913 x=1.002604, y=-0.022421, z=-0.077411 
t=21923 x=1.010494, y=-0.021902, z=-0.076144 
t=21933 x=1.014121, y=-0.019410, z=-0.075270 
t=21943 x=1.021823, y=-0.023283, z=-0.071616 
t=21953 x=1.020111, y=-0.026758, z=-0.078417 
t=21963 x=1.016305, y=-0.029359, z=-0.083671 
t=21973 x=1.012452, y=-0.030299, z=-0.083296 
t=21983 x=1.013883, y=-0.030209, z=-0.085375 
t=21993 x=1.014230, y=-0.029258, z=-0.088265 
t=22003 x=1.018973, y=-0.028564, z=-0.086377 
t=22013 x=1.019948, y=-0.032245, z=-0.089014 
t=22023 x=1.019483, y=-0.032740, z=-0.088409 
t=22033 x=1.023309, y=-0.030280, z=-0.074666 
t=22043 x=1.019983, y=-0.029203, z=-0.071932 
t=22053 x=1.016570, y=-0.026352, z=-0.077279 
t=22063 x=1.014870, y=-0.026391, z=-0.075980 
t=22073 x=1.009429, y=-0.018334, z=-0.072821 
t=22083 x=1.002651, y=-0.014808, z=-0.072505 
t=22093 x=0.998037, y=-0.013436, z=-0.065540 
t=22103 x=0.995857, y=-0.008951, z=-0.065774 
t=22113 x=1.003938, y=-0.006607, z=-0.057697 
t=22123 x=1.007046, y=-0.005480, z=-0.052822 
t=22133 x=1.010042, y=-0.007539, z=-0.052088 
t=22143 x=1.010712, y=-0.009680, z=-0.057841 
t=22153 x=1.015603, y=-0.012016, z=-0.055747 
t=22163 x=1.025848, y=-0.019410, z=-0.050497 
t=22173 x=1.035399, y=-0.022780, z=-0.048341 
t=22183 x=1.039955, y=-0.020908, z=-0.056339 
t=22193 x=1.042915, y=-0.015670, z=-0.062548 
t=22203 x=1.041651, y=-0.013439, z=-0.074545 
t=22213 x=1.045095, y=-0.005819, z=-0.076912 
t=22223 x=1.047716, y=-0.015514, z=-0.077840 
t=22233 x=1.037490, y=-0.013471, z=-0.071093 
t=22243 x=1.030220, y=-0.024519, z=-0.070161 
t=22253 x=1.030099, y=-0.048961, z=-0.074213 
t=22263 x=1.000502, y=-0.035217, z=-0.093733 
t=22273 x=0.989746, y=-0.027554, z=-0.099275 
t=22283 x=0.972797, y=-0.032686, z=-0.081951 
t=22293 x=0.966268, y=-0.042381, z=-0.068886 
t=22303 x=0.959720, y=-0.046925, z=-0.072848 
t=22313 x=0.950005, y=-0.041769, z=-0.087282 
t=22323 x=0.952723, y=-0.040622, z=-0.091958 
t=22333 x=0.973327, y=-0.039624, z=-0.084548 
t=22343 x=0.993318, y=-0.039971, z=-0.081920 
t=22353 x=1.015716, y=-0.038770, z=-0.070758 
t=22363 x=1.021352, y=-0.041945, z=-0.073620 
t=22373 x=1.023177, y=-0.044534, z=-0.062509 
t=22383 x=1.036928, y=-0.040232, z=-0.048504 
t=22393 x=1.048999, y=-0.032760, z=-0.056593 
t=22403 x=1.052544, y=-0.034168, z=-0.053184 
t=22413 x=1.054544, y=-0.038793, z=-0.056562 
t=22423 x=1.051265, y=-0.038559, z=-0.055364 
t=22433 x=1.042848, y=-0.026976, z=-0.053430 
t=22443 x=1.035454, y=-0.012293, z=-0.057556 
t=22453 x=1.036203, y=0.063317, z=-0.071066 
t=22463 x=1.005307, y=0.019009, z=-0.100464 
t=22473 x=1.057828, y=-0.007316, z=-0.038321 
t=22483 x=1.071646, y=-0.000495, z=-0.053863 
t=22493 x=1.077480, y=0.002079, z=-0.091463 
t=22503 x=1.098782, y=0.009224, z=-0.091003 
t=22513 x=1.110786, y=0.016010, z=-0.092613 
t=22523 x=1.123910, y=0.017293, z=-0.077665 
t=22533 x=1.066085, y=-0.028700, z=-0.152073 
t=22543 x=1.075148, y=-0.050439, z=0.040131 
t=22553 x=1.077710, y=-0.011326, z=0.100940 
t=22563 x=1.017409, y=-0.033528, z=0.052572 
t=22573 x=1.020104, y=-0.032362, z=-0.030447 
t=22583 x=0.945181, y=-0.060076, z=-0.057556 
t=22593 x=0.930536, y=-0.030280, z=-0.033638 
t=22603 x=0.937424, y=-0.062002, z=0.035755 
t=22613 x=0.918934, y=-0.038875, z=-0.019722 
t=22623 x=0.916851, y=-0.043091, z=-0.030342 
Block 1 GPS 
t=0 lat=90.000000, long=0.000000 
t=20785 lat=47.410435, long=8.505157 
t=21784 lat=47.410433, long=8.505153 
t=22785 lat=47.410433, long=8.505155 
t=23784 lat=47.410429, long=8.505149 
Block 2 
t=22633 x=0.908025, y=-0.072404, z=-0.004824 
t=22643 x=0.890838, y=0.000640, z=-0.023833 
t=22654 x=0.798525, y=-0.182742, z=-0.008221 
t=22663 x=0.923228, y=-0.013662, z=-0.102028 
t=22673 x=0.822498, y=-0.055610, z=-0.050708 
t=22683 x=0.902585, y=-0.033821, z=0.013724 
t=22693 x=0.939682, y=-0.082657, z=-0.034897 
t=22703 x=0.943145, y=-0.083027, z=-0.015479 
t=22713 x=1.032037, y=-0.042670, z=-0.031200 
t=22723 x=1.077484, y=-0.098268, z=-0.027300 
t=22733 x=1.146222, y=-0.085102, z=-0.002067 
t=22743 x=1.106204, y=-0.084724, z=-0.003533 
t=22753 x=1.224799, y=-0.079053, z=-0.023147 
t=22763 x=1.197027, y=-0.045759, z=-0.080695 
t=22773 x=1.283463, y=-0.019196, z=-0.110276 
t=22783 x=1.216297, y=-0.060645, z=-0.073780 
t=22793 x=1.168288, y=-0.059974, z=-0.059300 
t=22803 x=1.108669, y=-0.068344, z=-0.061538 
t=22813 x=1.032350, y=-0.077594, z=-0.024445 
t=22823 x=0.968456, y=-0.099267, z=-0.009992 
t=22833 x=0.887340, y=-0.130900, z=-0.008030 
t=22843 x=0.841963, y=-0.142186, z=0.006400 
t=22853 x=0.834222, y=-0.165508, z=0.029952 
t=22863 x=0.849931, y=-0.118088, z=0.020222 
t=22873 x=0.875094, y=-0.151316, z=0.012718 
t=22883 x=0.926316, y=-0.080211, z=-0.003155 
t=22893 x=0.982508, y=-0.049054, z=-0.011021 
t=22903 x=1.041920, y=-0.065684, z=-0.003506 
t=22913 x=1.105802, y=-0.045704, z=-0.003861 
t=22923 x=1.125801, y=-0.031703, z=-0.008486 
t=22933 x=1.148102, y=-0.015542, z=-0.025994 
t=22943 x=1.134881, y=0.002555, z=-0.021809 
t=22954 x=1.110751, y=-0.009165, z=-0.012562 
t=22963 x=1.111769, y=-0.046558, z=0.010171 
t=22973 x=1.123329, y=-0.068769, z=0.024929 
t=22983 x=1.130138, y=-0.072259, z=0.021661 
t=22993 x=1.140458, y=-0.057478, z=0.009992 
t=23003 x=1.156241, y=-0.037760, z=-0.004115 
t=23013 x=1.157536, y=-0.009680, z=-0.023778 
t=23023 x=1.151818, y=0.024601, z=-0.043945 
t=23033 x=1.139073, y=0.048528, z=-0.051675 
t=23043 x=1.128582, y=0.045677, z=-0.051047 
t=23053 x=1.124678, y=0.052919, z=-0.040591 
t=23063 x=1.122311, y=0.069272, z=-0.026754 
t=23073 x=1.119877, y=0.059970, z=-0.000920 
t=23083 x=1.119452, y=0.034628, z=0.037155 
t=23093 x=1.104457, y=-0.009337, z=0.065891 
t=23103 x=1.099418, y=-0.031637, z=0.078753 
t=23113 x=1.069267, y=-0.024991, z=0.067053 
t=23123 x=1.037287, y=0.001291, z=0.040427 
t=23133 x=1.018310, y=0.026052, z=0.024227 
t=23143 x=1.007148, y=0.035416, z=0.016770 
t=23153 x=1.007152, y=0.043984, z=0.017324 
t=23163 x=1.008942, y=0.057116, z=0.025561 
t=23173 x=0.984848, y=0.064217, z=0.039355 
t=23183 x=0.954849, y=0.052034, z=0.058874 
t=23193 x=0.940298, y=0.034137, z=0.078359 
t=23203 x=0.934795, y=0.020588, z=0.097438 
t=23213 x=0.929865, y=0.000035, z=0.118533 
t=23223 x=0.926008, y=-0.020775, z=0.129074 
